1534,1114,800
1534,1114,900
1540,1146,900
1546,1172,900
1553,1195,900
1560,1215,900
1568,1234,900
1576,1252,900
1584,1270,900
1593,1286,900
1602,1302,900
1611,1317,900
1621,1331,900
1631,1345,900
1641,1358,900
1651,1371,900
1662,1384,900
1674,1396,900
1685,1408,900
1698,1419,900
1710,1430,900
1723,1441,900
1737,1451,900
1751,1461,900
1765,1471,900
1781,1480,900
1797,1489,900
1814,1497,900
1833,1505,900
1853,1513,900
1877,1520,900
1905,1527,900
1905,1527,900
1860,1551,900
1831,1573,900
1809,1593,900
1790,1613,900
1773,1631,900
1758,1649,900
1745,1666,900
1733,1682,900
1722,1698,900
1711,1713,900
1702,1728,900
1693,1743,900
1685,1757,900
1677,1772,900
1670,1786,900
1663,1799,900
1657,1813,900
1651,1826,900
1646,1840,900
1641,1853,900
1637,1866,900
1633,1879,900
1629,1892,900
1626,1905,900
1624,1918,900
1622,1931,900
1620,1944,900
1619,1957,900
1618,1970,900
1617,1983,900
1617,1983,900
1601,1968,900
1585,1952,900
1568,1935,900
1552,1919,900
1535,1902,900
1518,1884,900
1501,1866,900
1484,1848,900
1467,1830,900
1450,1811,900
1433,1792,900
1416,1773,900
1398,1754,900
1381,1735,900
1364,1716,900
1346,1697,900
1329,1677,900
1312,1658,900
1295,1639,900
1278,1620,900
1261,1601,900
1245,1582,900
1228,1563,900
1212,1544,900
1197,1525,900
1181,1507,900
1166,1489,900
1152,1470,900
1137,1452,900
1123,1434,900
1123,1434,900
1135,1434,900
1147,1433,900
1159,1431,900
1170,1429,900
1182,1427,900
1194,1424,900
1205,1421,900
1217,1417,900
1229,1412,900
1241,1408,900
1252,1402,900
1264,1396,900
1276,1390,900
1289,1383,900
1301,1376,900
1314,1368,900
1326,1359,900
1339,1350,900
1353,1340,900
1366,1330,900
1380,1318,900
1394,1306,900
1409,1292,900
1424,1278,900
1440,1261,900
1456,1243,900
1474,1221,900
1492,1196,900
1512,1164,900
1534,1114,900
1534,1114,800
